pair_ID	relatedness_score	entailment_judgment
6	CONTRADICTION	3.1867857
7	NEUTRAL	3.8993082
8	CONTRADICTION	3.9082642
10	CONTRADICTION	3.864192
11	NEUTRAL	3.858971
13	CONTRADICTION	3.9209175
15	NEUTRAL	4.032831
16	NEUTRAL	3.592826
17	NEUTRAL	3.737256
19	ENTAILMENT	4.061218
20	CONTRADICTION	4.0762863
21	NEUTRAL	4.021286
22	NEUTRAL	4.1900086
23	CONTRADICTION	4.0791316
27	CONTRADICTION	3.3682966
29	NEUTRAL	3.2726953
31	CONTRADICTION	3.9367661
32	NEUTRAL	4.00641
33	NEUTRAL	4.1593833
34	NEUTRAL	3.7082462
36	NEUTRAL	4.1114936
37	ENTAILMENT	3.9937248
38	CONTRADICTION	3.9051223
39	NEUTRAL	4.108507
41	NEUTRAL	3.822195
43	NEUTRAL	3.9627376
46	NEUTRAL	3.6789045
48	NEUTRAL	3.7897987
50	NEUTRAL	4.1816573
51	NEUTRAL	4.1789846
52	NEUTRAL	3.8961878
53	NEUTRAL	3.8282318
54	NEUTRAL	3.8832073
57	NEUTRAL	3.528633
59	NEUTRAL	3.8921003
60	NEUTRAL	3.8097959
61	NEUTRAL	3.9232154
63	NEUTRAL	3.9313345
64	CONTRADICTION	3.8348017
66	NEUTRAL	3.9582171
67	CONTRADICTION	3.7729583
68	NEUTRAL	3.7858572
69	CONTRADICTION	3.85217
71	CONTRADICTION	3.9481153
74	NEUTRAL	3.6274648
75	NEUTRAL	3.9312177
76	NEUTRAL	3.768231
80	NEUTRAL	3.7152758
86	NEUTRAL	3.6821232
89	NEUTRAL	4.122387
92	NEUTRAL	4.0666265
95	NEUTRAL	3.7659326
96	NEUTRAL	3.3382502
101	NEUTRAL	3.9674067
102	NEUTRAL	4.056472
103	NEUTRAL	4.007678
104	NEUTRAL	3.8343859
106	NEUTRAL	4.059623
108	NEUTRAL	4.2626543
109	NEUTRAL	4.0502367
110	NEUTRAL	3.9857821
111	NEUTRAL	3.2657075
114	NEUTRAL	4.070934
115	NEUTRAL	2.316713
118	NEUTRAL	4.0788674
121	NEUTRAL	3.9603848
123	NEUTRAL	3.3585591
125	NEUTRAL	3.22093
128	NEUTRAL	3.3570142
132	CONTRADICTION	3.845016
134	NEUTRAL	3.920198
135	CONTRADICTION	2.4744768
137	NEUTRAL	2.381875
138	NEUTRAL	3.0931067
142	ENTAILMENT	3.7966433
143	NEUTRAL	3.8435507
144	NEUTRAL	3.9850855
145	NEUTRAL	3.7795162
147	NEUTRAL	3.8317475
149	NEUTRAL	3.875083
151	NEUTRAL	3.9505749
152	CONTRADICTION	3.5507565
153	NEUTRAL	3.9966974
154	CONTRADICTION	3.999333
155	NEUTRAL	4.049497
156	NEUTRAL	3.9690943
157	NEUTRAL	4.157678
158	NEUTRAL	4.113644
160	NEUTRAL	4.0763073
162	NEUTRAL	3.669796
165	NEUTRAL	3.625887
166	NEUTRAL	3.7004914
167	NEUTRAL	4.1610594
168	ENTAILMENT	4.1136413
169	NEUTRAL	3.6321158
171	NEUTRAL	3.4154615
172	NEUTRAL	4.004551
174	NEUTRAL	4.2657504
175	NEUTRAL	4.1996007
177	NEUTRAL	4.117862
178	NEUTRAL	4.0163565
179	NEUTRAL	3.8071532
180	ENTAILMENT	4.0744696
181	NEUTRAL	3.8612957
182	NEUTRAL	3.8241568
187	NEUTRAL	3.0061364
189	NEUTRAL	3.0834985
190	NEUTRAL	3.4008653
191	NEUTRAL	4.1157146
193	NEUTRAL	3.8825078
195	NEUTRAL	3.9305816
196	NEUTRAL	3.747841
198	CONTRADICTION	3.5871449
199	NEUTRAL	3.6397166
203	NEUTRAL	3.9574537
204	ENTAILMENT	4.208978
206	ENTAILMENT	4.132526
207	CONTRADICTION	4.0158205
208	NEUTRAL	4.133821
209	NEUTRAL	3.8420272
210	CONTRADICTION	3.5668774
212	NEUTRAL	3.9105325
213	NEUTRAL	2.931754
214	NEUTRAL	2.8066244
220	NEUTRAL	3.902248
221	ENTAILMENT	4.0049376
222	NEUTRAL	3.867535
229	ENTAILMENT	4.0334597
230	NEUTRAL	3.937212
231	NEUTRAL	3.8901796
235	NEUTRAL	3.526435
239	NEUTRAL	3.76689
242	NEUTRAL	3.3620117
243	NEUTRAL	3.7540727
244	NEUTRAL	3.6985378
245	NEUTRAL	3.7277932
246	NEUTRAL	2.8168535
247	NEUTRAL	2.7481308
250	NEUTRAL	3.2381158
251	NEUTRAL	2.6819034
252	NEUTRAL	3.2447324
255	NEUTRAL	4.0058594
261	ENTAILMENT	3.9198232
262	NEUTRAL	4.0963655
263	NEUTRAL	4.0615907
264	NEUTRAL	4.081107
267	NEUTRAL	3.5737872
268	NEUTRAL	3.4700968
270	NEUTRAL	2.3451111
271	NEUTRAL	3.2471538
274	NEUTRAL	4.089886
275	NEUTRAL	3.8963218
278	NEUTRAL	3.9061499
281	ENTAILMENT	3.5890152
282	ENTAILMENT	4.262406
284	ENTAILMENT	3.2579587
288	NEUTRAL	3.8316927
290	NEUTRAL	3.9628773
292	ENTAILMENT	3.7081032
294	NEUTRAL	3.899109
295	NEUTRAL	3.8218622
297	NEUTRAL	3.9691558
298	NEUTRAL	3.9117703
299	NEUTRAL	3.7768803
300	ENTAILMENT	3.7450514
306	NEUTRAL	3.5950108
307	NEUTRAL	3.6272655
308	CONTRADICTION	3.9205346
314	CONTRADICTION	3.774427
316	NEUTRAL	2.0142574
318	ENTAILMENT	1.8863606
319	NEUTRAL	2.1338325
320	NEUTRAL	2.0727124
321	NEUTRAL	2.0946195
322	ENTAILMENT	3.6731653
324	ENTAILMENT	3.3517146
325	CONTRADICTION	3.4235582
326	NEUTRAL	4.0859623
328	NEUTRAL	3.0361753
330	NEUTRAL	3.649207
334	NEUTRAL	3.8823895
336	ENTAILMENT	3.2887654
337	NEUTRAL	3.3277698
343	ENTAILMENT	3.787344
345	NEUTRAL	3.9547167
348	CONTRADICTION	3.8877668
349	NEUTRAL	3.636746
350	NEUTRAL	3.7776814
352	CONTRADICTION	3.665411
353	NEUTRAL	4.0405383
355	NEUTRAL	3.987883
356	NEUTRAL	3.7762327
357	NEUTRAL	3.979527
359	CONTRADICTION	3.8261328
364	NEUTRAL	4.054486
365	NEUTRAL	4.1649027
368	NEUTRAL	3.1738052
369	NEUTRAL	3.3693948
371	NEUTRAL	3.8806443
376	NEUTRAL	4.076355
383	NEUTRAL	3.8377824
385	NEUTRAL	3.9029808
386	NEUTRAL	3.8887544
388	NEUTRAL	3.7751346
389	NEUTRAL	3.8524804
399	ENTAILMENT	3.0645442
400	NEUTRAL	4.0550556
401	NEUTRAL	3.4872303
405	NEUTRAL	4.1160207
406	NEUTRAL	4.0987926
407	NEUTRAL	3.7720919
408	NEUTRAL	3.8964624
411	NEUTRAL	4.1484466
412	NEUTRAL	3.9916673
414	NEUTRAL	4.007001
416	NEUTRAL	3.9477768
418	NEUTRAL	4.144759
419	NEUTRAL	3.990539
420	NEUTRAL	3.7003078
421	NEUTRAL	3.9714928
424	NEUTRAL	4.0918345
425	CONTRADICTION	3.9942446
426	NEUTRAL	3.9039416
429	NEUTRAL	3.9187665
430	NEUTRAL	4.038076
431	NEUTRAL	3.949542
432	NEUTRAL	4.090718
433	NEUTRAL	3.9946804
437	NEUTRAL	4.0726643
443	NEUTRAL	3.9658132
444	NEUTRAL	3.8612118
445	NEUTRAL	4.1603804
448	NEUTRAL	4.080345
452	NEUTRAL	4.012867
453	NEUTRAL	3.6910043
455	NEUTRAL	3.84229
456	CONTRADICTION	4.0241246
458	NEUTRAL	3.3009832
459	NEUTRAL	3.4403558
460	NEUTRAL	3.0548525
463	CONTRADICTION	3.8760781
464	NEUTRAL	3.8363752
466	NEUTRAL	4.175029
467	ENTAILMENT	4.2247186
468	CONTRADICTION	3.8114872
469	NEUTRAL	4.0255117
471	ENTAILMENT	3.9710665
472	NEUTRAL	3.9199576
474	CONTRADICTION	4.20694
478	CONTRADICTION	2.3701277
479	NEUTRAL	2.577142
480	CONTRADICTION	3.4920564
481	ENTAILMENT	2.5386398
482	NEUTRAL	4.005951
483	NEUTRAL	4.0759983
487	NEUTRAL	3.8515515
488	NEUTRAL	3.9023294
490	NEUTRAL	3.8657694
492	NEUTRAL	3.5287108
493	ENTAILMENT	3.13664
495	NEUTRAL	3.965817
498	NEUTRAL	3.932527
501	NEUTRAL	3.969297
502	ENTAILMENT	3.8766031
503	NEUTRAL	3.9943419
